meteorite_name,id,recclass,mass (g),fall,year,reclat,reclong,geometry,continent,country
Crosbyton,5475,H,,Found,1963,33.66667,-101.26667,POINT (-101.26667 33.66667),North America,United States of America
Crow Peak,44709,"Iron, IIAB",6320,Found,1958,44.47733,-103.972,POINT (-103.972 44.47733),North America,United States of America
Cruz del Aire,5478,"Iron, ungrouped",23000,Found,1911,26.5,-100,POINT (-100 26.5),North America,Mexico
Cruz del Eje,51739,"Iron, IAB complex",14000,Found,1971,-30.75,-64.78333,POINT (-64.78333 -30.75),South America,Argentina
Cuba,5479,"Iron, IAB?",1500,Found,1871,22,-80,POINT (-80 22),North America,Cuba
Cuddeback Dry Lake 001,5480,L6,32.5,Found,1999,35.29575,-117.4668,POINT (-117.4668 35.29575),North America,United States of America
Cuddeback Dry Lake 002,5481,L6,95,Found,2000,35.2755,-117.47833,POINT (-117.47833 35.2755),North America,United States of America
Cuddeback Dry Lake 003,5482,L6,7.5,Found,2000,35.29183,-117.47067,POINT (-117.47067 35.29183),North America,United States of America
Cuddeback Dry Lake 004,5483,H6,40,Found,2000,35.30233,-117.46017,POINT (-117.46017 35.30233),North America,United States of America
Cuddeback Dry Lake 005,5484,H5,35,Found,2000,35.31232,-117.45315,POINT (-117.45315 35.31232),North America,United States of America
Cuddeback Dry Lake 006,5485,H6,0.5,Found,2000,35.31227,-117.453,POINT (-117.453 35.31227),North America,United States of America
Cuddeback Dry Lake 007,5486,L4,96.7,Found,2000,35.3114,-117.45342,POINT (-117.45342 35.3114),North America,United States of America
Cuddeback Dry Lake 008,5487,L6,18.02,Found,2000,35.28333,-117.48333,POINT (-117.48333 35.28333),North America,United States of America
Cuddeback Dry Lake 009,5488,H5,19,Found,2000,35.31833,-117.46667,POINT (-117.46667 35.31833),North America,United States of America
Cuddeback Dry Lake 010,5489,L5,10.5,Found,2000,35.3112,-117.45465,POINT (-117.45465 35.3112),North America,United States of America
Cuddeback Dry Lake 011,5490,L6,10.69,Found,2000,35.2758,-117.47877,POINT (-117.47877 35.2758),North America,United States of America
Cuddeback Dry Lake 012,5491,H5,0.72,Found,2002,35.31217,-117.453,POINT (-117.453 35.31217),North America,United States of America
Cuddeback Dry Lake 013,52974,H4,1.6,Found,2008,35.31218,-117.45303,POINT (-117.45303 35.31218),North America,United States of America
Cuddeback Dry Lake 017,52978,H6,23.1,Found,2008,35.28528,-117.48305,POINT (-117.48305 35.28528),North America,United States of America
Cuddeback Dry Lake 018,52979,H4,8.5,Found,2008,35.28638,-117.48305,POINT (-117.48305 35.28638),North America,United States of America
Cuddeback Dry Lake 019,52980,L6,10.1,Found,2008,35.30455,-117.45817,POINT (-117.45817 35.30455),North America,United States of America
Cuddeback Dry Lake 021,51573,L6,31.72,Found,2004,35.3,-117.4605,POINT (-117.4605 35.3),North America,United States of America
Cuddeback Dry Lake 023,52856,H5,123,Found,1986,35.3248,-117.47983,POINT (-117.47983 35.3248),North America,United States of America
Cuddeback Dry Lake 028,52967,L5,19.5,Found,2008,35.296,-117.472,POINT (-117.472 35.296),North America,United States of America
Cuero,5493,H5,46500,Found,1936,29.01667,-97.28333,POINT (-97.28333 29.01667),North America,United States of America
Culbertson,5494,H4,5900,Found,1913,40.23333,-100.83333,POINT (-100.83333 40.23333),North America,United States of America
Cullison,5495,H4,10000,Found,1911,37.61667,-98.91667,POINT (-98.91667 37.61667),North America,United States of America
Cumpas,5497,"Iron, IIIAB",28600,Found,1903,30,-109.66667,POINT (-109.66667 30),North America,Mexico
Dar al Gani 031,5547,H5/6,213,Found,1995,27.18717,16.189,POINT (16.189 27.18717),Africa,Libya
Cushing,5499,H4,567,Found,1932,35.96667,-96.76667,POINT (-96.76667 35.96667),North America,United States of America
Czestochowa Rakow I,5501,Iron,,Found,,50.8,19.11667,POINT (19.11667 50.8),Europe,Poland
Dadin,5503,Iron,27300,Found,1949,-38.91667,-69.2,POINT (-69.2 -38.91667),South America,Argentina
Dale Dry Lake,5505,L3.7,300,Found,1957,34.08333,-115.78333,POINT (-115.78333 34.08333),North America,United States of America
Dalgaranga,5506,Mesosiderite-A,12200,Found,1923,-27.71667,117.25,POINT (117.25 -27.71667),Oceania,Australia
Dalgety Downs,5507,L4,257000,Found,1941,-25.33333,116.18333,POINT (116.18333 -25.33333),Oceania,Australia
Dalhart,5508,H5,4400,Found,1968,36.04333,-102.40833,POINT (-102.40833 36.04333),North America,United States of America
Dalton,5509,"Iron, IIIAB",53000,Found,1879,34.8,-84.98333,POINT (-84.98333 34.8),North America,United States of America
Danby Dry Lake,5510,H6,8991,Found,2000,34.216667,-115.05,POINT (-115.05 34.216667),North America,United States of America
Danebury,5512,H6,30,Found,1974,51.13889,-1.53611,POINT (-1.53611 51.13889),Europe,United Kingdom
Daoura,5516,L4,35,Found,1952,29.58333,-3.75,POINT (-3.75 29.58333),Africa,Algeria
Dar al Gani 001,5517,LL6,213,Found,1995,27.11767,16.0745,POINT (16.0745 27.11767),Africa,Libya
Dar al Gani 002,5518,H6,5105,Found,1995,27.1255,16.05817,POINT (16.05817 27.1255),Africa,Libya
Dar al Gani 003,5519,H6,2020,Found,1995,27.12633,16.03067,POINT (16.03067 27.12633),Africa,Libya
Dar al Gani 004,5520,H6,237,Found,1995,27.155,15.95833,POINT (15.95833 27.155),Africa,Libya
Dar al Gani 005,5521,CO3,1932,Found,1995,27.1565,15.9525,POINT (15.9525 27.1565),Africa,Libya
Dar al Gani 006,5522,CO3,3130,Found,1995,27.16983,15.9255,POINT (15.9255 27.16983),Africa,Libya
Dar al Gani 007,5523,H5/6,331,Found,1995,27.16233,16.09533,POINT (16.09533 27.16233),Africa,Libya
Dar al Gani 008,5524,L6,1925,Found,1995,27.15833,16.11467,POINT (16.11467 27.15833),Africa,Libya
Dar al Gani 009,5525,H6,2235,Found,1995,27.15267,16.1565,POINT (16.1565 27.15267),Africa,Libya
Dar al Gani 010,5526,H5/6,72,Found,1995,27.15217,16.17317,POINT (16.17317 27.15217),Africa,Libya
Dar al Gani 011,5527,H6,898,Found,1995,27.16467,16.16917,POINT (16.16917 27.16467),Africa,Libya
Dar al Gani 012,5528,L6,769,Found,1995,27.132,16.29767,POINT (16.29767 27.132),Africa,Libya
Dar al Gani 013,5529,R3.5-6,205,Found,1995,27.1295,16.3435,POINT (16.3435 27.1295),Africa,Libya
Dar al Gani 014,5530,H5,147,Found,1995,27.10917,16.46617,POINT (16.46617 27.10917),Africa,Libya
Dar al Gani 015,5531,H6,619,Found,1995,27.107,16.39333,POINT (16.39333 27.107),Africa,Libya
Dar al Gani 016,5532,H5,516,Found,1995,27.098,16.32233,POINT (16.32233 27.098),Africa,Libya
Dar al Gani 017,5533,L6,713,Found,1995,27.09267,16.31317,POINT (16.31317 27.09267),Africa,Libya
Dar al Gani 018,5534,H5,287,Found,1995,27.092,16.3,POINT (16.3 27.092),Africa,Libya
Dar al Gani 019,5535,H6,3096,Found,1995,27.08083,16.201,POINT (16.201 27.08083),Africa,Libya
Dar al Gani 020,5536,L4/5,1190,Found,1995,27.07717,16.19317,POINT (16.19317 27.07717),Africa,Libya
Dar al Gani 021,5537,L6,83,Found,1995,27.07717,16.193,POINT (16.193 27.07717),Africa,Libya
Dar al Gani 022,5538,LL3-6,362,Found,1995,27.0775,16.16917,POINT (16.16917 27.0775),Africa,Libya
Dar al Gani 023,5539,CO3,31,Found,1995,27.09767,16.0255,POINT (16.0255 27.09767),Africa,Libya
Dar al Gani 024,5540,H6,113,Found,1995,27.10483,16.01133,POINT (16.01133 27.10483),Africa,Libya
Dar al Gani 026,5542,LL6,236,Found,1995,27.11417,16.0015,POINT (16.0015 27.11417),Africa,Libya
Dar al Gani 027,5543,CO3,281,Found,1995,27.12783,15.97117,POINT (15.97117 27.12783),Africa,Libya
Dar al Gani 028,5544,L6,231,Found,1995,27.225,15.0295,POINT (15.0295 27.225),Africa,Libya
Dar al Gani 029,5545,H6,1620,Found,1995,27.20167,16.093,POINT (16.093 27.20167),Africa,Libya
Dar al Gani 030,5546,H3.9-6,404,Found,1995,27.1915,16.1345,POINT (16.1345 27.1915),Africa,Libya
Dar al Gani 032,5548,CO3,579,Found,1995,27.08467,16.03683,POINT (16.03683 27.08467),Africa,Libya
Dar al Gani 033,5549,L6,126,Found,1995,27.0805,16.12567,POINT (16.12567 27.0805),Africa,Libya
Dar al Gani 034,5550,L6,406,Found,1995,27.08267,16.13783,POINT (16.13783 27.08267),Africa,Libya
Dar al Gani 035,5551,H5,199,Found,1995,27.08683,16.17483,POINT (16.17483 27.08683),Africa,Libya
Dar al Gani 036,5552,LL6,1214,Found,1995,27.10383,16.30867,POINT (16.30867 27.10383),Africa,Libya
Dar al Gani 037,5553,LL6,990,Found,1995,27.10767,16.32383,POINT (16.32383 27.10767),Africa,Libya
Dar al Gani 038,5554,LL6,674,Found,1995,27.10967,16.3515,POINT (16.3515 27.10967),Africa,Libya
Dar al Gani 039,5555,LL6,167,Found,1995,27.11067,16.35667,POINT (16.35667 27.11067),Africa,Libya
Dar al Gani 040,5556,L6,176,Found,1995,27.1115,16.4365,POINT (16.4365 27.1115),Africa,Libya
Dar al Gani 041,5557,H5,95,Found,1995,27.13583,16.36017,POINT (16.36017 27.13583),Africa,Libya
Dar al Gani 042,5558,H5,176,Found,1995,27.13367,16.358,POINT (16.358 27.13367),Africa,Libya
Dar al Gani 043,5559,H5-6,38,Found,1995,27.13383,16.331,POINT (16.331 27.13383),Africa,Libya
Dar al Gani 044,5560,H4,1741,Found,1995,27.13933,16.27267,POINT (16.27267 27.13933),Africa,Libya
Dar al Gani 045,5561,H6,1010,Found,1995,27.14617,16.16367,POINT (16.16367 27.14617),Africa,Libya
Dar al Gani 046,5562,LL6,192,Found,1995,27.15267,16.10617,POINT (16.10617 27.15267),Africa,Libya
Dar al Gani 047,5563,L6,240,Found,1995,27.27517,16.09383,POINT (16.09383 27.27517),Africa,Libya
Dar al Gani 048,5564,L5,242,Found,1995,27.25817,16.1355,POINT (16.1355 27.25817),Africa,Libya
Dar al Gani 049,5565,L4/5,100,Found,1995,27.30583,16.13567,POINT (16.13567 27.30583),Africa,Libya
Dar al Gani 050,5566,L5,1808,Found,1995,27.3055,16.20917,POINT (16.20917 27.3055),Africa,Libya
Dar al Gani 051,5567,H5,121,Found,1995,27.30383,16.24483,POINT (16.24483 27.30383),Africa,Libya
Dar al Gani 052,5568,LL4-6,164,Found,1995,27.30317,16.25467,POINT (16.25467 27.30317),Africa,Libya
Dar al Gani 053,5569,H5,276,Found,1995,27.30517,16.26417,POINT (16.26417 27.30517),Africa,Libya
Dar al Gani 054,5570,LL3.8,957,Found,1995,27.30483,16.30017,POINT (16.30017 27.30483),Africa,Libya
Dar al Gani 055,5571,C3-ung,451,Found,1995,27.26717,16.42033,POINT (16.42033 27.26717),Africa,Libya
Dar al Gani 056,5572,C3-ung,703,Found,1995,27.26783,16.41317,POINT (16.41317 27.26783),Africa,Libya
Dar al Gani 057,5573,L6,36,Found,1995,27.26883,16.23633,POINT (16.23633 27.26883),Africa,Libya
Dar al Gani 058,5574,L5,1490,Found,1995,27.279,16.21733,POINT (16.21733 27.279),Africa,Libya
Dar al Gani 059,5575,L5,944,Found,1995,27.29867,16.16683,POINT (16.16683 27.29867),Africa,Libya
Dar al Gani 060,5576,LL5-6,425,Found,1995,27.32017,16.0775,POINT (16.0775 27.32017),Africa,Libya
Dar al Gani 061,5577,LL5-6,3130,Found,1995,27.45767,16.28017,POINT (16.28017 27.45767),Africa,Libya
Dar al Gani 062,5578,LL5-6,421,Found,1995,27.45483,16.31333,POINT (16.31333 27.45483),Africa,Libya
Dar al Gani 063,5579,H5,199,Found,1995,27.4055,16.32833,POINT (16.32833 27.4055),Africa,Libya
Dar al Gani 064,5580,L6,229,Found,1995,27.40633,16.31967,POINT (16.31967 27.40633),Africa,Libya
Dar al Gani 065,5581,L5,90,Found,1995,27.41633,16.19433,POINT (16.19433 27.41633),Africa,Libya
Dar al Gani 066,5582,H5,50,Found,1995,27.4205,16.16667,POINT (16.16667 27.4205),Africa,Libya
Dar al Gani 067,5583,CO3,688,Found,1995,27.1455,15.95067,POINT (15.95067 27.1455),Africa,Libya
Dar al Gani 068,5584,H5,250,Found,1995,27.0705,16.0945,POINT (16.0945 27.0705),Africa,Libya
Dar al Gani 069,5585,L6,110,Found,1995,27.04767,16.4515,POINT (16.4515 27.04767),Africa,Libya
Dar al Gani 070,5586,H6,458,Found,1995,27.05233,16.42633,POINT (16.42633 27.05233),Africa,Libya
Dar al Gani 071,5587,L6,392,Found,1995,27.056,16.399,POINT (16.399 27.056),Africa,Libya
Dar al Gani 072,5588,H6,117,Found,1995,27.1055,16.04583,POINT (16.04583 27.1055),Africa,Libya
Dar al Gani 073,5589,H6,215,Found,1995,27.12883,16.035,POINT (16.035 27.12883),Africa,Libya
Dar al Gani 074,5590,H5/6,86,Found,1995,27.16033,16.03533,POINT (16.03533 27.16033),Africa,Libya
Dar al Gani 075,5591,H4,1025,Found,1995,27.19967,16.03567,POINT (16.03567 27.19967),Africa,Libya
Dar al Gani 076,5592,H6,123,Found,1995,27.1045,16.00983,POINT (16.00983 27.1045),Africa,Libya
Dar al Gani 077,5593,H6,443,Found,1995,27.10733,16.02233,POINT (16.02233 27.10733),Africa,Libya
Dar al Gani 078,5594,CO3,838,Found,1995,27.10483,16.06317,POINT (16.06317 27.10483),Africa,Libya
Dar al Gani 079,5595,H6,252,Found,1995,27.11817,16.02717,POINT (16.02717 27.11817),Africa,Libya
Dar al Gani 080,5596,H6,216,Found,1995,27.10083,16.02333,POINT (16.02333 27.10083),Africa,Libya
Dar al Gani 081,5597,CO3,125,Found,1995,27.11017,16.01817,POINT (16.01817 27.11017),Africa,Libya
Dar al Gani 082,5598,CO3,860,Found,1995,27.167,15.93933,POINT (15.93933 27.167),Africa,Libya
Dar al Gani 083,5599,CO3,622,Found,1995,27.15967,15.96283,POINT (15.96283 27.15967),Africa,Libya
Dar al Gani 084,5600,Ureilite,277,Found,1995,27.04067,16.40433,POINT (16.40433 27.04067),Africa,Libya
Dar al Gani 085,5601,L3-4,153,Found,1995,27.04617,16.37217,POINT (16.37217 27.04617),Africa,Libya
Dar al Gani 086,5602,L6,237,Found,1995,27.08433,16.119,POINT (16.119 27.08433),Africa,Libya
Dar al Gani 087,5603,H6,217,Found,1995,27.1355,16.03017,POINT (16.03017 27.1355),Africa,Libya
Dar al Gani 088,5604,H5,236,Found,1995,27.1425,16.0295,POINT (16.0295 27.1425),Africa,Libya
Dar al Gani 089,5605,H5,541,Found,1995,27.143,16.028,POINT (16.028 27.143),Africa,Libya
Dar al Gani 090,5606,H5,628,Found,1995,27.1585,16.03133,POINT (16.03133 27.1585),Africa,Libya
Dar al Gani 091,5607,L5/6,144,Found,1995,27.22017,16.03317,POINT (16.03317 27.22017),Africa,Libya
Dar al Gani 092,5608,L6,137,Found,1995,27.23317,16.02933,POINT (16.02933 27.23317),Africa,Libya
Dar al Gani 093,5609,L6,522,Found,1995,27.2705,16.04067,POINT (16.04067 27.2705),Africa,Libya
Dar al Gani 094,5610,H5,385,Found,1996,27.0655,16.0875,POINT (16.0875 27.0655),Africa,Libya
Dar al Gani 095,5611,L5,840,Found,1996,27.10683,16.51617,POINT (16.51617 27.10683),Africa,Libya
Dar al Gani 096,5612,H5,209,Found,1996,27.1025,16.23817,POINT (16.23817 27.1025),Africa,Libya
Dar al Gani 097,5613,H6,67,Found,1996,27.11433,16.145,POINT (16.145 27.11433),Africa,Libya
Dar al Gani 098,5614,H5/6,132,Found,1996,27.1135,16.143,POINT (16.143 27.1135),Africa,Libya
Dar al Gani 099,5615,H6,254,Found,1996,27.12017,16.11117,POINT (16.11117 27.12017),Africa,Libya
Dar al Gani 100,5616,H6,4840,Found,1996,27.12117,16.10883,POINT (16.10883 27.12117),Africa,Libya
Dar al Gani 1000,5617,Ureilite-pmict,17.92,Found,1997,27.0135,16.36583,POINT (16.36583 27.0135),Africa,Libya
Dar al Gani 1001,5618,H6,132,Found,1999,27.37683,16.30233,POINT (16.30233 27.37683),Africa,Libya
Dar al Gani 1002,5619,H5,370,Found,1999,27.35133,16.25367,POINT (16.25367 27.35133),Africa,Libya
Dar al Gani 1003,5620,H5,236,Found,1999,27.27833,16.27717,POINT (16.27717 27.27833),Africa,Libya
Dar al Gani 1004,5621,H5,287,Found,1999,27.2585,16.09233,POINT (16.09233 27.2585),Africa,Libya
Dar al Gani 1005,5622,H4,477,Found,1999,27.19017,16.30833,POINT (16.30833 27.19017),Africa,Libya
Dar al Gani 1006,5623,CO3,4150,Found,1999,27.203,15.90067,POINT (15.90067 27.203),Africa,Libya
Dar al Gani 1007,5624,L6,124,Found,1999,27.1585,16.45617,POINT (16.45617 27.1585),Africa,Libya
Dar al Gani 1008,5625,H5,108,Found,1999,27.917,16.48767,POINT (16.48767 27.917),Africa,Libya
Dar al Gani 1009,5626,L5,85,Found,1999,27.94783,16.50983,POINT (16.50983 27.94783),Africa,Libya
Dar al Gani 101,5627,H6,842,Found,1996,27.1295,16.06867,POINT (16.06867 27.1295),Africa,Libya
Dar al Gani 1010,5628,Ureilite,119,Found,2000,27.04133,16.38767,POINT (16.38767 27.04133),Africa,Libya
Dar al Gani 1011,5629,L5,38.05,Found,1999,27.04306,16.41167,POINT (16.41167 27.04306),Africa,Libya
Dar al Gani 1012,5630,H5,14.8,Found,1999,27.15222,16.48306,POINT (16.48306 27.15222),Africa,Libya
Dar al Gani 1013,5631,L4-5,20.32,Found,1999,27.15222,16.51722,POINT (16.51722 27.15222),Africa,Libya
Dar al Gani 1014,5632,H5,239,Found,1999,27.57139,16.175,POINT (16.175 27.57139),Africa,Libya
Dar al Gani 1015,5633,H5,247,Found,1999,27.42639,16.27417,POINT (16.27417 27.42639),Africa,Libya
Dar al Gani 1016,49486,L~6,11.65,Found,1999,27.25253,16.08372,POINT (16.08372 27.25253),Africa,Libya
Dar al Gani 1017,49487,LL~6,176.78,Found,1999,27.4387,15.94838,POINT (15.94838 27.4387),Africa,Libya
Dar al Gani 1018,5634,H5,181.88,Found,1999,27.63167,16.08694,POINT (16.08694 27.63167),Africa,Libya
Dar al Gani 1019,5635,L5,104.1,Found,1999,27.57139,16.08333,POINT (16.08333 27.57139),Africa,Libya
Dar al Gani 102,5636,H6,173,Found,1996,27.1205,16.0235,POINT (16.0235 27.1205),Africa,Libya
Dar al Gani 1020,5637,H5,55.8,Found,2000,27.92472,16.9575,POINT (16.9575 27.92472),Africa,Libya
Dar al Gani 1021,5638,H5,101.1,Found,2000,27.01083,16.18167,POINT (16.18167 27.01083),Africa,Libya
Dar al Gani 1022,5639,LL7,33.6,Found,2001,27.08333,16.25,POINT (16.25 27.08333),Africa,Libya
Dar al Gani 1023,5640,Ureilite-pmict,149,Found,1999,27.02583,16.38783,POINT (16.38783 27.02583),Africa,Libya
Dar al Gani 1024,5641,LL5,142,Found,1999,27.188,16.40233,POINT (16.40233 27.188),Africa,Libya
Dar al Gani 1025,5642,LL4,173,Found,1999,26.90633,16.6865,POINT (16.6865 26.90633),Africa,Libya
Dar al Gani 1026,34018,L3,214,Found,1999,26.907,16.6815,POINT (16.6815 26.907),Africa,Libya
Dar al Gani 1027,30498,L5,137,Found,1999,27.231,16.249,POINT (16.249 27.231),Africa,Libya
Dar al Gani 1028,30499,CO3,131,Found,2000,27.07567,16.06633,POINT (16.06633 27.07567),Africa,Libya
Dar al Gani 1029,5643,LL5,68,Found,2000,27.919,16.684,POINT (16.684 27.919),Africa,Libya
Dar al Gani 103,5644,L5,594,Found,1996,27.17017,16.0355,POINT (16.0355 27.17017),Africa,Libya
Dar al Gani 1030,5645,CK4/5,10.09,Found,1998,27.22167,16.25,POINT (16.25 27.22167),Africa,Libya
Dar al Gani 1031,5646,EL4,20.15,Found,1998,27.14683,16.05017,POINT (16.05017 27.14683),Africa,Libya
Dar al Gani 1032,5647,H3/4,321,Found,2000,27.035,16.38133,POINT (16.38133 27.035),Africa,Libya
Dar al Gani 1033,5648,H4,38.9,Found,1999,27.46767,16.17017,POINT (16.17017 27.46767),Africa,Libya
Dar al Gani 1034,5649,LL6,232,Found,1999,27.66733,15.9505,POINT (15.9505 27.66733),Africa,Libya
Dar al Gani 1035,5650,H4,36,Found,1999,27.23233,16.196,POINT (16.196 27.23233),Africa,Libya
Dar al Gani 1036,5651,Ureilite,222,Found,1999,27.03367,16.38333,POINT (16.38333 27.03367),Africa,Libya
Dar al Gani 1037,5652,Martian (shergottite),4012.4,Found,1999,27.33333,16.21667,POINT (16.21667 27.33333),Africa,Libya
Dar al Gani 1038,5653,L4,80,Found,1999,27.33333,16.25,POINT (16.25 27.33333),Africa,Libya
Dar al Gani 1039,30500,L6,889,Found,1999,27.33017,16.23117,POINT (16.23117 27.33017),Africa,Libya
Dar al Gani 104,5654,H6,269,Found,1996,27.13533,16.052,POINT (16.052 27.13533),Africa,Libya
Dar al Gani 1040,30501,CV3,781,Found,2001,27.28133,16.40833,POINT (16.40833 27.28133),Africa,Libya
Dar al Gani 1041,32785,CO3,169,Found,1998,27.08333,16.055,POINT (16.055 27.08333),Africa,Libya
Dar al Gani 1042,44710,Lunar,801,Found,1999,27.182,16.30017,POINT (16.30017 27.182),Africa,Libya
Dar al Gani 1043,44878,LL6,32.1,Found,2005,27.43333,16,POINT (16 27.43333),Africa,Libya
Dar al Gani 1044,44879,LL5,235,Found,2006,27.45056,16.19167,POINT (16.19167 27.45056),Africa,Libya
Dar al Gani 1045,49488,L6,955,Found,2005,27.49583,16.25833,POINT (16.25833 27.49583),Africa,Libya
Dar al Gani 1047,44880,Ureilite-pmict,49.8,Found,1999,27.03583,16.38528,POINT (16.38528 27.03583),Africa,Libya
Dar al Gani 1048,44881,Lunar (feldsp. breccia),0.8,Found,2001,27.20167,16.31117,POINT (16.31117 27.20167),Africa,Libya
Dar al Gani 1049 ,47348,H5,88,Found,2007,27.26633,16.35783,POINT (16.35783 27.26633),Africa,Libya
Dar al Gani 105,5655,H6,85,Found,1996,27.13383,16.06533,POINT (16.06533 27.13383),Africa,Libya
Dar al Gani 1050 ,47349,H6,265,Found,2007,28.21417,15.55083,POINT (15.55083 28.21417),Africa,Libya
Dar al Gani 1051,51562,Martian (shergottite),40.1,Found,2000,27.16917,16.13533,POINT (16.13533 27.16917),Africa,Libya
Dar al Gani 1052,53617,LL5,280,Found,2008,27.32833,16.21867,POINT (16.21867 27.32833),Africa,Libya
Dar al Gani 1053,53636,CV3,98,Found,2006,27.24167,16.23267,POINT (16.23267 27.24167),Africa,Libya
Dar al Gani 1054,53637,Ureilite,28.4,Found,1999,27.42767,16.1655,POINT (16.1655 27.42767),Africa,Libya
Dar al Gani 1055,53638,Eucrite-pmict,305,Found,2007,27.38,16.469,POINT (16.469 27.38),Africa,Libya
Dar al Gani 1057,53767,LL5,114,Found,1998,27.28,16.14783,POINT (16.14783 27.28),Africa,Libya
Dar al Gani 1058,54650,Lunar (feldsp. breccia),1815,Found,1998,27.375,16.184,POINT (16.184 27.375),Africa,Libya
Dar al Gani 1059,56098,H6,1470,Found,2010,28.28767,15.49467,POINT (15.49467 28.28767),Africa,Libya
Dar al Gani 106,5656,H6,293,Found,1996,27.13233,16.068,POINT (16.068 27.13233),Africa,Libya
Dar al Gani 1060,56412,Eucrite,310,Found,2010,26.9195,16.657,POINT (16.657 26.9195),Africa,Libya
Dar al Gani 1061,56304,Ureilite,207,Found,2010,27.23017,16.48833,POINT (16.48833 27.23017),Africa,Libya
Dar al Gani 1063,56648,CV3,410.3,Found,2002,27.27417,16.40833,POINT (16.40833 27.27417),Africa,Libya
Dar al Gani 107,5657,H6,1510,Found,1996,27.1345,16.08933,POINT (16.08933 27.1345),Africa,Libya
Dar al Gani 108,5658,H5,221,Found,1996,27.18317,16.33083,POINT (16.33083 27.18317),Africa,Libya
Dar al Gani 109,5659,LL5-6,47,Found,1996,27.16383,16.52033,POINT (16.52033 27.16383),Africa,Libya
Dar al Gani 110,5660,L6,57,Found,1996,27.15,16.40633,POINT (16.40633 27.15),Africa,Libya
Dar al Gani 111,5661,H6,76,Found,1996,27.14967,16.21,POINT (16.21 27.14967),Africa,Libya
Dar al Gani 112,5662,L5/6,212,Found,1996,27.1675,16.14067,POINT (16.14067 27.1675),Africa,Libya
Dar al Gani 113,5663,H5,290,Found,1996,27.1835,16.11517,POINT (16.11517 27.1835),Africa,Libya
Dar al Gani 114,5664,H5,223,Found,1996,27.184,16.11183,POINT (16.11183 27.184),Africa,Libya
Dar al Gani 115,5665,H5-6,379,Found,1996,27.19567,16.10033,POINT (16.10033 27.19567),Africa,Libya
Dar al Gani 116,5666,H5,615,Found,1996,27.19583,16.01317,POINT (16.01317 27.19583),Africa,Libya
Dar al Gani 118,5668,L5/6,1770,Found,1996,27.25483,16.00667,POINT (16.00667 27.25483),Africa,Libya
Dar al Gani 119,5669,H5,287,Found,1996,27.133,16.0395,POINT (16.0395 27.133),Africa,Libya
Dar al Gani 120,5670,H5,132,Found,1996,27.11167,16.02983,POINT (16.02983 27.11167),Africa,Libya
Dar al Gani 121,5671,H6,282,Found,1996,27.10467,16.01167,POINT (16.01167 27.10467),Africa,Libya
Dar al Gani 122,5672,H6,182,Found,1996,27.1075,16.03583,POINT (16.03583 27.1075),Africa,Libya
Dar al Gani 123,5673,H6,511,Found,1996,27.11067,16.07017,POINT (16.07017 27.11067),Africa,Libya
Dar al Gani 124,5674,H6,204,Found,1996,27.1185,16.10333,POINT (16.10333 27.1185),Africa,Libya
Dar al Gani 125,5675,H6,860,Found,1996,27.1205,16.11217,POINT (16.11217 27.1205),Africa,Libya
Dar al Gani 126,5676,H6,90,Found,1996,27.13033,16.1565,POINT (16.1565 27.13033),Africa,Libya
Dar al Gani 127,5677,H6,619,Found,1996,27.13317,16.16333,POINT (16.16333 27.13317),Africa,Libya
Dar al Gani 128,5678,H5,281,Found,1996,27.15233,16.26717,POINT (16.26717 27.15233),Africa,Libya
Dar al Gani 129,5679,H5,299,Found,1996,27.155,16.27883,POINT (16.27883 27.155),Africa,Libya
Dar al Gani 130,5680,L6,303,Found,1996,27.12933,16.37283,POINT (16.37283 27.12933),Africa,Libya
Dar al Gani 131,5681,L6,114,Found,1996,27.1355,16.3205,POINT (16.3205 27.1355),Africa,Libya
Dar al Gani 132,5682,H5,120,Found,1996,27.159,16.22,POINT (16.22 27.159),Africa,Libya
Dar al Gani 133,5683,H6,62,Found,1996,27.16717,16.1505,POINT (16.1505 27.16717),Africa,Libya
Dar al Gani 134,5684,H6,39,Found,1996,27.16983,16.14317,POINT (16.14317 27.16983),Africa,Libya
Dar al Gani 136,5685,CO3,399,Found,1996,27.10133,16.0215,POINT (16.0215 27.10133),Africa,Libya
Dar al Gani 137,5686,CO3,193,Found,1996,27.10383,16.0325,POINT (16.0325 27.10383),Africa,Libya
Dar al Gani 138,5687,H5,454,Found,1996,27.147,16.1585,POINT (16.1585 27.147),Africa,Libya
Dar al Gani 139,5688,H5,171,Found,1996,27.1575,16.208,POINT (16.208 27.1575),Africa,Libya
Dar al Gani 141,5690,L5,145,Found,1996,27.19117,16.27767,POINT (16.27767 27.19117),Africa,Libya
Dar al Gani 142,5691,H5/6,1225,Found,1996,27.24733,16.39733,POINT (16.39733 27.24733),Africa,Libya
Dar al Gani 143,5692,H5/6,133,Found,1996,26.98333,16.506,POINT (16.506 26.98333),Africa,Libya
Dar al Gani 144,5693,H5/6,302,Found,1996,26.98133,16.50433,POINT (16.50433 26.98133),Africa,Libya
Dar al Gani 146,5694,H6,837,Found,1996,27.03367,16.4055,POINT (16.4055 27.03367),Africa,Libya
Dar al Gani 147,5695,H5,387,Found,1996,27.04517,16.38167,POINT (16.38167 27.04517),Africa,Libya
