meteorite_name,id,recclass,mass (g),fall,year,reclat,reclong,geometry,continent,country
Frontier Mountain 90033,10431,H6,7.5,Found,1990,-72.95556,160.46457,POINT (160.46457 -72.95556),Antarctica,Antarctica
Frontier Mountain 90034,10432,L7,6.4,Found,1990,-72.95556,160.45233,POINT (160.45233 -72.95556),Antarctica,Antarctica
Frontier Mountain 90035,10433,LL4,81.2,Found,1990,-72.9531,160.45004,POINT (160.45004 -72.9531),Antarctica,Antarctica
Frontier Mountain 90036,10434,Ureilite,34.6,Found,1990,-72.95328,160.43934,POINT (160.43934 -72.95328),Antarctica,Antarctica
Frontier Mountain 90037,10435,H5,13.1,Found,1990,-72.9544,160.49912,POINT (160.49912 -72.9544),Antarctica,Antarctica
Frontier Mountain 90038,10436,H5,3.3,Found,1990,-72.95431,160.50142,POINT (160.50142 -72.95431),Antarctica,Antarctica
Frontier Mountain 90039,10437,L4,8.8,Found,1990,-72.95395,160.50402,POINT (160.50402 -72.95395),Antarctica,Antarctica
Frontier Mountain 90040,10438,H5,5.2,Found,1990,-72.95395,160.50405,POINT (160.50405 -72.95395),Antarctica,Antarctica
Frontier Mountain 90041,10439,H6,5.1,Found,1990,-72.95377,160.50405,POINT (160.50405 -72.95377),Antarctica,Antarctica
Frontier Mountain 90042,10440,LL4,14.7,Found,1990,-72.9539,160.50631,POINT (160.50631 -72.9539),Antarctica,Antarctica
Frontier Mountain 90043,10441,H6,38.4,Found,1990,-72.96752,160.44347,POINT (160.44347 -72.96752),Antarctica,Antarctica
Frontier Mountain 90044,10442,L5,10.2,Found,1990,-72.95806,160.48796,POINT (160.48796 -72.95806),Antarctica,Antarctica
Frontier Mountain 90045,10443,L4,21.8,Found,1990,-72.95623,160.43854,POINT (160.43854 -72.95623),Antarctica,Antarctica
Frontier Mountain 90046,10444,H6,9.46,Found,1990,-72.95596,160.43857,POINT (160.43857 -72.95596),Antarctica,Antarctica
Frontier Mountain 90047,10445,L4,19,Found,1990,-72.95337,160.52512,POINT (160.52512 -72.95337),Antarctica,Antarctica
Frontier Mountain 90048,10446,H6,20.3,Found,1990,-72.95489,160.43796,POINT (160.43796 -72.95489),Antarctica,Antarctica
Frontier Mountain 90049,10447,H5/6,9.5,Found,1990,-72.9556,160.43857,POINT (160.43857 -72.9556),Antarctica,Antarctica
Frontier Mountain 90051,10449,H6,8.1,Found,1990,-72.95346,160.52512,POINT (160.52512 -72.95346),Antarctica,Antarctica
Frontier Mountain 90052,10450,L4,34.2,Found,1990,-72.95623,160.43857,POINT (160.43857 -72.95623),Antarctica,Antarctica
Frontier Mountain 90053,10451,H5,9.3,Found,1990,-72.95506,160.43857,POINT (160.43857 -72.95506),Antarctica,Antarctica
Frontier Mountain 90054,10452,Ureilite,17.5,Found,1990,-72.95578,160.43857,POINT (160.43857 -72.95578),Antarctica,Antarctica
Frontier Mountain 90056,10454,L6,9.4,Found,1990,-72.95538,160.43796,POINT (160.43796 -72.95538),Antarctica,Antarctica
Frontier Mountain 90057,10455,H6,3.8,Found,1990,-72.95265,160.51518,POINT (160.51518 -72.95265),Antarctica,Antarctica
Frontier Mountain 90058,10456,L7,28,Found,1990,-72.95547,160.43796,POINT (160.43796 -72.95547),Antarctica,Antarctica
Frontier Mountain 90059,10457,H5,30.4,Found,1990,-72.95417,160.52512,POINT (160.52512 -72.95417),Antarctica,Antarctica
Frontier Mountain 90060,10458,H6,0.89,Found,1990,-72.9556,160.43854,POINT (160.43854 -72.9556),Antarctica,Antarctica
Frontier Mountain 90061,10459,H6,8.4,Found,1990,-72.95279,160.51472,POINT (160.51472 -72.95279),Antarctica,Antarctica
Frontier Mountain 90062,10460,L7,6.2,Found,1990,-72.95328,160.44087,POINT (160.44087 -72.95328),Antarctica,Antarctica
Frontier Mountain 90063,10461,H6,0.49,Found,1990,-72.9531,160.43781,POINT (160.43781 -72.9531),Antarctica,Antarctica
Frontier Mountain 90064,10462,H6,3.5,Found,1990,-72.95457,160.50374,POINT (160.50374 -72.95457),Antarctica,Antarctica
Frontier Mountain 90065,10463,L7,5.7,Found,1990,-72.95431,160.50221,POINT (160.50221 -72.95431),Antarctica,Antarctica
Frontier Mountain 90067,10465,H6,8.9,Found,1990,-72.95431,160.50129,POINT (160.50129 -72.95431),Antarctica,Antarctica
Frontier Mountain 90068,10466,H6,4.8,Found,1990,-72.9531,160.44087,POINT (160.44087 -72.9531),Antarctica,Antarctica
Frontier Mountain 90069,10467,H6,17.7,Found,1990,-72.95431,160.50065,POINT (160.50065 -72.95431),Antarctica,Antarctica
Frontier Mountain 90070,10468,L4,27,Found,1990,-72.95457,160.50221,POINT (160.50221 -72.95457),Antarctica,Antarctica
Frontier Mountain 90073,10470,H6,20.6,Found,1990,-72.95563,160.46457,POINT (160.46457 -72.95563),Antarctica,Antarctica
Frontier Mountain 90075,10472,H5,21,Found,1990,-72.95364,160.44301,POINT (160.44301 -72.95364),Antarctica,Antarctica
Frontier Mountain 90076,10473,H4/5,10.5,Found,1990,-72.95607,160.45233,POINT (160.45233 -72.95607),Antarctica,Antarctica
Frontier Mountain 90077,10474,L3,3.2,Found,1990,-72.95556,160.45845,POINT (160.45845 -72.95556),Antarctica,Antarctica
Frontier Mountain 90081,10477,H6,1.31,Found,1991,-72.98972,160.41139,POINT (160.41139 -72.98972),Antarctica,Antarctica
Frontier Mountain 90082,10478,H5,60.48,Found,1991,-72.99444,160.41111,POINT (160.41111 -72.99444),Antarctica,Antarctica
Frontier Mountain 90083,10479,L4,0.46,Found,1991,-72.95498,160.49181,POINT (160.49181 -72.95498),Antarctica,Antarctica
Frontier Mountain 90084,10480,L7,1.3,Found,1991,-72.9548,160.49243,POINT (160.49243 -72.9548),Antarctica,Antarctica
Frontier Mountain 90085,10481,H5,7.4,Found,1991,-72.95725,160.49851,POINT (160.49851 -72.95725),Antarctica,Antarctica
Frontier Mountain 90086,10482,L6,4.7,Found,1991,-72.9531,160.44851,POINT (160.44851 -72.9531),Antarctica,Antarctica
Frontier Mountain 90088,10484,H6,1.6,Found,1991,-72.95328,160.44607,POINT (160.44607 -72.95328),Antarctica,Antarctica
Frontier Mountain 90091,10487,H5,8.29,Found,1991,-72.95667,160.43166,POINT (160.43166 -72.95667),Antarctica,Antarctica
Frontier Mountain 90093,10489,H6,3.61,Found,1991,-72.95542,160.43857,POINT (160.43857 -72.95542),Antarctica,Antarctica
Frontier Mountain 90094,10490,H5,9.11,Found,1991,-72.95431,160.50126,POINT (160.50126 -72.95431),Antarctica,Antarctica
